seq,1.919,1
seq,6.409,1501
seq,6.451,3001
seq,6.487,4501
seq,6.511,6001
seq,6.536,7501
seq,6.559,9001
seq,6.584,10501
seq,6.607,12001
seq,6.639,13501
seq,6.668,15001
seq,6.691,16501
seq,6.715,18001
seq,6.739,19501
seq,6.773,21001
seq,6.795,22501
seq,6.820,24001
seq,6.848,25501
seq,6.877,27001
seq,6.903,28501
seq,6.928,30001
seq,6.951,31501
seq,6.975,33001
seq,6.999,34501
seq,7.023,36001
seq,7.051,37501
seq,7.092,39001
seq,7.116,40501
seq,7.140,42001
seq,7.172,43501
seq,7.195,45001
seq,7.220,46501
seq,7.252,48001
seq,7.275,49501
seq,7.300,51001
seq,7.324,52501
seq,7.363,54001
seq,7.387,55501
seq,7.413,57001
seq,7.440,58501
ack,1.919,1501
ack,2.975,3001
ack,3.019,4501
ack,3.064,6001
ack,3.107,7501
ack,3.159,9001
ack,3.203,10501
ack,3.251,12001
ack,3.295,13501
ack,3.343,15001
ack,3.387,16501
ack,3.431,18001
ack,3.484,19501
ack,3.569,21001
ack,3.640,22501
ack,3.702,24001
ack,3.769,25501
ack,3.848,27001
ack,3.929,28501
ack,4.010,30001
ack,4.087,31501
ack,4.146,33001
ack,4.250,34501
ack,4.372,36001
ack,4.458,37501
ack,4.573,39001
ack,4.683,40501
ack,4.797,42001
ack,4.908,43501
ack,4.974,45001
ack,5.120,46501
ack,5.210,48001
ack,5.306,49501
ack,5.379,51001
ack,5.427,52501
ack,5.517,54001
ack,5.583,55501
ack,5.651,57001
ack,5.747,58501
ack,5.837,60001
ack,5.927,61501
ack,5.983,63001
ack,6.028,64501
ack,6.075,66001
ack,6.119,67501
ack,6.167,69001
ack,6.211,70501
ack,6.255,72001
ack,6.303,73501
ack,6.351,75001
ack,6.409,3001
ack,6.451,4501
ack,6.487,6001
ack,6.511,7501
ack,6.536,9001
ack,6.559,10501
ack,6.584,12001
ack,6.607,13501
ack,6.640,15001
ack,6.668,16501
ack,6.691,18001
ack,6.715,19501
ack,6.739,21001
ack,6.773,22501
ack,6.795,24001
ack,6.820,25501
ack,6.848,27001
ack,6.877,28501
ack,6.904,30001
ack,6.928,31501
ack,6.951,33001
ack,6.975,34501
ack,6.999,36001
ack,7.023,37501
ack,7.051,39001
ack,7.093,40501
ack,7.116,42001
ack,7.140,43501
ack,7.172,45001
ack,7.195,46501
ack,7.220,48001
ack,7.253,49501
ack,7.275,51001
ack,7.300,52501
ack,7.324,54001
ack,7.363,55501
ack,7.387,57001
ack,7.413,58501
ack,7.440,60001
