0.084,1500,65536
0.104,1500,65536
0.124,1500,65536
0.193,1500,65536
0.249,3000,65536
0.338,6000,65536
0.400,7500,65536
0.469,9000,65536
0.534,10500,65536
0.597,12000,65536
0.645,13500,65536
0.715,15000,65536
0.774,16500,65536
0.814,18000,65536
0.898,19500,65536
0.924,21000,65536
0.980,21000,65536
1.016,22500,65536
1.054,24000,65536
1.156,25500,65536
1.226,27000,65536
1.293,28500,65536
1.322,30000,65536
1.381,31500,65536
1.442,33000,65536
1.525,34500,65536
1.581,36000,65536
1.642,37500,65536
1.706,39000,65536
1.762,40500,65536
1.849,42000,65536
1.926,43500,65536
2.006,45000,65536
2.057,46500,65536
2.101,48000,65536
2.146,49500,65536
2.206,51000,65536
2.297,52500,65536
2.408,54000,65536
2.454,55500,65536
2.523,57000,65536
2.582,58500,65536
2.650,60000,65536
2.714,61500,65536
2.788,63000,65536
2.845,64500,65536
2.881,66000,65536
2.947,66034,65536
3.026,66068,65536
3.077,66102,65536
3.133,66136,65536
3.216,66237,65536
3.243,66270,65536
3.263,66270,65536
3.283,66270,65536
3.303,66303,65536
3.323,66303,65536
3.343,66303,65536
3.363,66336,65536
3.383,66336,65536
3.412,66336,65536
3.432,66369,65536
3.452,66369,65536
3.472,66402,65536
3.492,66402,65536
3.512,66402,65536
3.532,66435,65536
3.552,66435,65536
3.572,66435,65536
3.592,66468,65536
3.619,66468,65536
3.639,66468,65536
3.709,66534,65536
3.729,66534,65536
3.749,66534,65536
3.769,66534,65536
3.789,66567,65536
3.809,66567,65536
3.829,66567,65536
3.856,66600,65536
3.876,66600,65536
3.896,66633,65536
3.928,66633,65536
3.948,66666,65536
3.968,66666,65536
4.000,66666,65536
4.020,66699,65536
4.040,66699,65536
4.060,66699,65536
4.084,66732,65536
4.110,66732,65536
4.161,66765,65536
4.181,66798,65536
4.201,66798,65536
4.221,66831,65536
4.241,66831,65536
4.271,66831,65536
4.291,66864,65536
4.311,66864,65536
4.331,66897,65536
4.351,66897,65536
4.382,66897,65536
4.407,66930,65536
4.432,66930,65536
4.452,66963,65536
4.472,66963,65536
4.492,66996,65536
4.512,66996,65536
4.532,66996,65536
4.589,67029,65536
4.624,67062,65536
4.647,67062,65536
4.667,67095,65536
4.698,67095,65536
4.718,67128,65536
4.738,67128,65536
4.758,67161,65536
4.778,67161,65536
4.798,67161,65536
4.818,67194,65536
4.838,67194,65536
4.858,67194,65536
4.882,67227,65536
4.902,67227,65536
4.922,67227,65536
4.950,67227,65536
4.970,67260,65536
4.990,67260,65536
5.057,67326,65536
5.078,67326,65536
5.098,67326,65536
5.118,67359,65536
5.138,67359,65536
5.158,67392,65536
5.178,67392,65536
5.198,67392,65536
5.223,67425,65536
5.245,67425,65536
5.265,67458,65536
5.285,67458,65536
5.316,67458,65536
5.336,67491,65536
5.356,67491,65536
5.376,67524,65536
5.396,67524,65536
5.427,67524,65536
5.517,67590,65536
5.612,67623,65536
5.698,67656,65536
5.719,67656,65536
5.739,67656,65536
5.759,67656,65536
5.787,67656,65536
5.807,67689,65536
5.827,67689,65536
5.847,67689,65536
5.867,67722,65536
5.887,67722,65536
5.907,67722,65536
5.927,67755,65536
5.947,67755,65536
5.974,67755,65536
5.994,67788,65536
6.014,67788,65536
6.034,67788,65536
6.054,67788,65536
6.076,67821,65536
6.096,67821,65536
6.182,67887,65536
6.261,67920,65536
6.346,67953,65536
6.426,67953,65536
6.481,67986,65536
6.501,68019,65536
6.522,68019,65536
6.542,68052,65536
6.562,68052,65536
6.582,68085,65536
6.605,68085,65536
6.629,68085,65536
6.702,68118,65536
6.722,68151,65536
6.742,68151,65536
6.762,68151,65536
6.782,68184,65536
6.802,68184,65536
6.822,68184,65536
6.893,68248,65536
6.970,68248,65536
6.991,68280,65536
7.011,68280,65536
7.031,68312,65536
7.053,68312,65536
7.073,68312,65536
7.093,68344,65536
7.116,68344,65536
7.184,68376,65536
7.204,68408,65536
7.224,68408,65536
7.244,68440,65536
7.264,68440,65536
7.284,68440,65536
7.312,68472,65536
7.332,68472,65536
7.352,68504,65536
7.372,68504,65536
7.392,68504,65536
7.434,68568,65536
7.499,68600,65536
7.557,68632,65536
7.617,68664,65536
7.639,68664,65536
7.659,68696,65536
7.679,68696,65536
7.699,68696,65536
7.723,68728,65536
7.747,68728,65536
7.767,68760,65536
7.787,68760,65536
7.810,68760,65536
7.830,68792,65536
7.850,68792,65536
7.877,68824,65536
7.897,68824,65536
7.917,68824,65536
7.969,68856,65536
8.061,68888,65536
8.125,68920,65536
